Name,Kind
优良玉米自交系501,BREED
京玉一号,BREED
高配合力,PHENOTYPE
早熟,PHENOTYPE
生育期,ENVIRONMENT
北京市夏,ENVIRONMENT
亩产,PHENOTYPE
唐抗5号,BREED
综合性状,PHENOTYPE
稳产性,PHENOTYPE
抗华北地区多种玉米主要病害,PHENOTYPE
育种速度,PHENOTYPE
育种周期,PHENOTYPE
玉米群体,BREED
花培系,BREED
常规骨干系,BREED
单株粒重,PHENOTYPE
穗长,PHENOTYPE
穗粗,PHENOTYPE
籽行数,PHENOTYPE
行粒数,PHENOTYPE
秃顶,PHENOTYPE
产量性状,PHENOTYPE
配合力分析,METHODS
一般配合力效应,METHODS
特殊配合力效应,METHODS
反交效应,METHODS
白M9,BREED
倍44—1,BREED
倍17,BREED
倍22,BREED
倍69,BREED
自交系,BREED
王米自交系,BREED
世代平均数分析,METHODS
显性效应,METHODS
株高,PHENOTYPE
穗位高,PHENOTYPE
穗上叶数,PHENOTYPE
上位性效应,PHENOTYPE
茎粗,PHENOTYPE
雄穗分枝数,PHENOTYPE
长度,PHENOTYPE
穗高,PHENOTYPE
低温,ENVIRONMENT
冷敏植物,BREED
环境因素,ENVIRONMENT
热带,ENVIRONMENT
亚热带,ENVIRONMENT
玉米抗寒性,PHENOTYPE
抗寒性,PHENOTYPE
冷锻炼,METHODS
ABA处理,METHODS
抗氧化酶,GENE
膜类脂,GENE
同工酶,GENE
水势,PHENOTYPE
渗透压,PHENOTYPE
ABA,PHENOTYPE
叶片,PLACE
多基因,GENE
数量性状,PHENOTYPE
双列杂交法,METHODS
穗位,PHENOTYPE
穗行数,PHENOTYPE
秃顶长,PHENOTYPE
百粒重,PHENOTYPE
出籽率,PHENOTYPE
单株籽粒重,PHENOTYPE
加性基因,GENE
非加性基因,GENE
掖107,BREED
8112×岩自38,BREED
掖107×86-11,BREED
高赖氨酸玉米,BREED
不良性状,PHENOTYPE
高赖氨酸玉米育种,BREED
播种面积,METHODS
套袋数量,METHODS
玉米自交系,BREED
配合力高,PHENOTYPE
纯度高,PHENOTYPE
产量高,PHENOTYPE
抗逆性强,PHENOTYPE
综合农艺性状,PHENOTYPE
超甜型玉米自交系,BREED
Griffing完全双列杂交方法,METHODS
超甜型玉米子粒,PLACE
可溶性总糖性状,PHENOTYPE
