head_type,tail_type,relation,index
None,None,None,0
BREED,PHENOTYPE,表现_1.0,1
ENVIRONMENT,PHENOTYPE,影响_1.0,2
PHENOTYPE,METHODS,单位_1.0,3
PHENOTYPE,METHODS,方法_1.0,4
METHODS,PHENOTYPE,影响_2.0,5
PLACE,PHENOTYPE,表现_2.0,6
GENE,PHENOTYPE,调控_1.0,7
BREED,PHENOTYPE,调控_2.0,8
METHODS,METHODS,方法_2.0,9
METHODS,BREED,方法_3.0,10
PHENOTYPE,PHENOTYPE,表现_3.0,11
PHENOTYPE,PHENOTYPE,影响_3.0,12
PLACE,METHODS,方法_4.0,13
PHENOTYPE,PLACE,单位_2.0,14
ENVIRONMENT,GENE,影响_4.0,15
PHENOTYPE,PHENOTYPE,方法_5.0,16
METHODS,PHENOTYPE,调控_3.0,17
METHODS,PHENOTYPE,方法_6.0,18
GENE,PHENOTYPE,表现_4.0,19
METHODS,GENE,方法_7.0,20
ENVIRONMENT,METHODS,单位_3.0,21
METHODS,METHODS,可视化_1.0,22
METHODS,METHODS,单位_4.0,23
METHODS,GENE,影响_5.0,24
ENVIRONMENT,PHENOTYPE,表现_5.0,25
PHENOTYPE,METHODS,可视化_2.0,26
METHODS,GENE,可视化_3.0,27
GENE,PHENOTYPE,方法_8.0,28
ENVIRONMENT,PHENOTYPE,单位_5.0,29
GENE,PHENOTYPE,影响_6.0,30
PHENOTYPE,ENVIRONMENT,方法_9.0,31
GENE,METHODS,方法_10.0,32
BREED,PHENOTYPE,影响_7.0,33
ENVIRONMENT,METHODS,影响_8.0,34
PHENOTYPE,BREED,表现_6.0,35
PHENOTYPE,ENVIRONMENT,影响_9.0,36
METHODS,ENVIRONMENT,单位_6.0,37
METHODS,PHENOTYPE,表现_7.0,38
BREED,PHENOTYPE,方法_11.0,39
GENE,BREED,调控_4.0,40
PHENOTYPE,BREED,影响_10.0,41
BREED,METHODS,可视化_4.0,42
GENE,BREED,表现_8.0,43
BREED,BREED,表现_9.0,44
GENE,ENVIRONMENT,影响_11.0,45
BREED,METHODS,方法_12.0,46
ENVIRONMENT,BREED,影响_12.0,47
BREED,GENE,表现_10.0,48
BREED,METHODS,表现_11.0,49
BREED,ENVIRONMENT,表现_12.0,50
PHENOTYPE,GENE,调控_5.0,51
ENVIRONMENT,PLACE,影响_13.0,52
PLACE,PHENOTYPE,单位_7.0,53
ENVIRONMENT,GENE,调控_6.0,54
ENVIRONMENT,PHENOTYPE,调控_7.0,55
PHENOTYPE,METHODS,表现_13.0,56
PLACE,PHENOTYPE,影响_14.0,57
ENVIRONMENT,ENVIRONMENT,影响_15.0,58
METHODS,PHENOTYPE,单位_8.0,59
