head_type,tail_type,relation,index
None,None,None,0
BREED,PHENOTYPE,表现,1
ENVIRONMENT,PHENOTYPE,影响,2
PHENOTYPE,METHODS,单位,3
PHENOTYPE,METHODS,方法,4
METHODS,PHENOTYPE,影响,5
PLACE,PHENOTYPE,表现,6
GENE,PHENOTYPE,调控,7
BREED,PHENOTYPE,调控,8
METHODS,METHODS,方法,9
METHODS,BREED,方法,10
PHENOTYPE,PHENOTYPE,表现,11
PHENOTYPE,PHENOTYPE,影响,12
PLACE,METHODS,方法,13
PHENOTYPE,PLACE,单位,14
ENVIRONMENT,GENE,影响,15
PHENOTYPE,PHENOTYPE,方法,16
METHODS,PHENOTYPE,调控,17
METHODS,PHENOTYPE,方法,18
GENE,PHENOTYPE,表现,19
METHODS,GENE,方法,20
ENVIRONMENT,METHODS,单位,21
METHODS,METHODS,可视化,22
METHODS,METHODS,单位,23
METHODS,GENE,影响,24
ENVIRONMENT,PHENOTYPE,表现,25
PHENOTYPE,METHODS,可视化,26
METHODS,GENE,可视化,27
GENE,PHENOTYPE,方法,28
ENVIRONMENT,PHENOTYPE,单位,29
GENE,PHENOTYPE,影响,30
PHENOTYPE,ENVIRONMENT,方法,31
GENE,METHODS,方法,32
BREED,PHENOTYPE,影响,33
ENVIRONMENT,METHODS,影响,34
PHENOTYPE,BREED,表现,35
PHENOTYPE,ENVIRONMENT,影响,36
METHODS,ENVIRONMENT,单位,37
METHODS,PHENOTYPE,表现,38
BREED,PHENOTYPE,方法,39
GENE,BREED,调控,40
PHENOTYPE,BREED,影响,41
BREED,METHODS,可视化,42
GENE,BREED,表现,43
BREED,BREED,表现,44
GENE,ENVIRONMENT,影响,45
BREED,METHODS,方法,46
ENVIRONMENT,BREED,影响,47
BREED,GENE,表现,48
BREED,METHODS,表现,49
BREED,ENVIRONMENT,表现,50
PHENOTYPE,GENE,调控,51
ENVIRONMENT,PLACE,影响,52
PLACE,PHENOTYPE,单位,53
ENVIRONMENT,GENE,调控,54
ENVIRONMENT,PHENOTYPE,调控,55
PHENOTYPE,METHODS,表现,56
PLACE,PHENOTYPE,影响,57
ENVIRONMENT,ENVIRONMENT,影响,58
METHODS,PHENOTYPE,单位,59
