sentence,relation,head,head_offset,tail,tail_offset
"干重净生长速率普通玉米也高于高赖氨酸玉米,而鲜重、体积净生长速率表现为前期普通玉米高于高赖氨酸玉米,而中、后期高赖氨酸玉米高。",表现,高赖氨酸玉米,14,体积净生长速率,25
"﻿运用加性—显性及环境互作的遗传模型对8个优质蛋白玉米(QPM)自交系及其56个F1组合的9个性状进行分析,对各性状的遗传方差分量、遗传力、杂种F1代的基因型和杂种优势进行研究。",可视化,加性—显性及环境互作的遗传模型,3,遗传力,66
"﻿以西南地区生产上常用的11个玉米骨干自交系为测验种,采用不完全双列杂交设计,测定17个玉米地方种质新选自交系主要性状的配合力和杂种优势,并对杂优类群、性状遗传参数进行分析。",方法,性状,57,配合力,60
"试验筛选出寻单7号,保21-413,云杂3号、金瑞6号、宣黄单5号等一批干旱和正常条件下产量高、且差异小、其它农艺性状优良的耐旱玉米品种;研究表明干旱将显著地引起雌雄间隔期延长、秃尖增长、穗粒重降低、单株生产力下降和单产降低(P<0.05);干旱处理下穗粒重、籽粒灌浆后期叶片衰老度、单株生产力和耐旱系数与产量呈显著(P<0.05)或极显著(P<0.01)相关,可以作为耐旱鉴定的间接指标。",表现,保21-413,10,产量高,44
"结果表明,磷胁迫下,自交系双M9和苏11APase活性分别较全磷处理高40.7%(p<0.01)和31.86%(p<0.01);双M9株高、茎粗、穗位高、雄穗长、雄穗分枝数和叶面积显著高于全磷处理,苏11茎粗、雄穗长、雄穗分枝数和叶面积显著高于全磷处理;双M9穗长、穗粗、行粒数、穗粒重、穗轴重和百粒重显著高于全磷处理,苏11穗行数、行粒数、穗粒重、穗重和穗长显著高于全磷处理;APase活性与株高、雄穗分枝数、穗位高和百粒重中度正相关。",表现,苏11,17,叶面积,87
"供试群体在黑龙江省均具有较好的适应性,且生育期较短,属早熟和中早熟类型,可以在早熟玉米育种中利用。",表现,供试群体,0,早熟,27
"本文综述了近年来分子标记技术在玉米抗旱育种中的应用,重点介绍了玉米主要性状的QTL定位,以及构建玉米遗传图谱程度。",表现,玉米,15,性状,35
"﻿利用自主育成的3个玉米自交系S1、S3和S7组配的2个组合(S1×S3和S3×S7)的P1、P2、F1、B1、B2、F2等6个世代,运用六世代主基因+多基因模型联合分析方法,进行穗总重、穗长、穗粗、轴粗性状的遗传分析。",方法,六世代主基因,69,穗粗,97
"试验筛选出寻单7号,保21-413,云杂3号、金瑞6号、宣黄单5号等一批干旱和正常条件下产量高、且差异小、其它农艺性状优良的耐旱玉米品种;研究表明干旱将显著地引起雌雄间隔期延长、秃尖增长、穗粒重降低、单株生产力下降和单产降低(P<0.05);干旱处理下穗粒重、籽粒灌浆后期叶片衰老度、单株生产力和耐旱系数与产量呈显著(P<0.05)或极显著(P<0.01)相关,可以作为耐旱鉴定的间接指标。",表现,云杂3号,18,产量高,44
初步研究显示pf40具有促进分蘖(枝)的功能。,调控,pf40,6,分蘖(枝),14
"⑵以选育高产优质、多抗广适、风味独特的甜玉米品种为目标,创建来源广泛的优质基础选系群体,集成分子标记辅助选择、双单倍体、基因编辑、转基因等先进技术手段加快育种选择速度,建立商品品质、营养品质、加工品质与产量和农艺性状协调的甜玉米育种技术体系。",表现,甜玉米,19,高产优质,4
"同时通过对A28产量和主要农艺数量性状配合力分析,得出利用一般配合力高的自交系作父本,特殊配合力高的自交系作母本容易配出强优势单交种。",方法,产量,8,配合力,19
"子粒、叶片、茎秆含水量等性状不同遗传控制体系受基因型×环境互作效应显著影响,对这些性状的选择效果受环境影响较大,宜在较晚世代进行选择。",影响,环境,27,子粒,0
"方法:以转基因甘薯和非转基因甘薯无菌苗及田间栽培苗为试材,对两者叶片、叶柄、茎、根不同器官醇溶性和水溶性蛋白质含量,以及田间栽培中植株农艺性状的变化作了比较研究。",方法,农艺性状,67,田间栽培,20
"结果表明,雄穗主枝长度与雌穗穗长的相关系数为0.642,达显著水平,说明雄穗的主枝长度越长,雌穗的穗长也就越长。",表现,雄穗,5,主枝长度越长,39
"结果表明:玉米株高和穗位高存在广泛的遗传变异,属于典型的数量性状,由微效多基因控制;共检测到4个控制株高的QTL,分别位于第1、5和8染色体上,单个株高QTL表型贡献率变幅为2.33%~4.85%,加性效应的变幅为2.33~6.01cm;共检测到10个控制穗位高的QTL,分别位于第1、2、3、5、6、7和8染色体上,单个穗位高QTL表型贡献率的变幅为1.77%~6.15%,加性效应的变幅为1.75~6.25cm。",单位,加性效应的变幅,99,cm,116
"结果表明,在不施氮条件下子粒的蛋白质、脂肪和赖氨酸含量下降,而淀粉含量上升,但不同材料的变化幅度不同。",表现,子粒,12,淀粉含量,31
"﻿利用单倍体诱导系对遗传背景相近的玉米自交系MC1和MC2所组配的F1进行杂交诱导获得单倍体,经过自然加倍得181份纯系(DH系),分析DH系农艺性状的分离情况。",表现,DH系,61,农艺性状,71
"﻿吉A5002是以A-349×铁7922为基础材料,经北方和海南连续自交6代选育而成的优良玉米自交系,具有配合力高、抗病性好,株型清秀紧凑,根茎质量优良,结实性好,耐密植,出籽率高、制种产量高等优点,与铁7922相比,在熟期、株型、株高、穗位、脱水、穗部等性状上实现了改良创新。",表现,吉A5002,1,出籽率高,86
"导入高VA原玉米种质YML1626、YML1619、YML16-5、YML162-3产量GCA效应值较高,在育种中具有较高的利用价值。",表现,YML16-5,26,产量GCA效应值较高,42
"单穗产量与绝大多数籽粒构型性状显著相关,特别是与粒长的相关系数最高;对单穗产量影响较大的性状有粒长、粒厚、穗长、出籽率和粒长/穗半径。",影响,单穗产量,0,籽粒构型性状,9
"结果表明,干旱导致玉米自交系的散粉至吐丝期间隔增加,光合叶面积减少,株高和穗位高降低,茎秆变细,穗短小,秃尖多,穗粒数少,粒重轻,最终导致产量下降。",影响,干旱,5,光合叶面积减少,26
"结果表明,在高氮水平下检测到1个控制穗长的QTL,位于第1染色体上;在低氮水平下检测到4个穗长QTLs,第1和第5染色体上各2个,说明穗长QTLs与供氮水平之间可能存在交互效应。",影响,供氮水平,74,穗长QTLs,45
同时可借助RSE等选择指数选育高产、收获时含水量低的玉米杂交种。,单位,收获时含水量低,18,RSE,5
"﻿通过对7个玉米改良自交系所配部分杂交组合的表现,对抽丝期、生育日数、株高、穗位高、穗长、穗粗、穗行数、百粒重、平均单株产量、与对照品种的产量百分数(CK%)共10个性状进行了配合潜力效应值分析,并总结出这7个改良自交系的应用潜力。",方法,株高,35,配合潜力效应值分析,88
"Zm OPR5相对表达量与H2O2含量、MDA含量、Cd2+转移系数和Cd2+含量均呈高度正相关关系,在Cd耐性自交系B73根系中与上述性状的相关系数分别为0.778、0.879、0.893和0.822,已达显著或极显著水平,由此表明Zm OPR5可能参与了玉米由Cd胁迫引发的抗氧化胁迫反应过程。",影响,Cd胁迫,132,抗氧化胁迫反应,139
