head_type,tail_type,relation,index
None,None,None,0
BREED,PHENOTYPE,表现_1.0,1
GENE,PHENOTYPE,调控_1.0,2
METHODS,BREED,方法_1.0,3
BREED,PHENOTYPE,单位_1.0,4
METHODS,PHENOTYPE,方法_2.0,5
PHENOTYPE,PHENOTYPE,表现_2.0,6
BREED,BREED,表现_3.0,7
PHENOTYPE,BREED,表现_4.0,8
METHODS,METHODS,方法_3.0,9
METHODS,PHENOTYPE,可视化_1.0,10
BREED,PHENOTYPE,可视化_2.0,11
PHENOTYPE,METHODS,方法_4.0,12
GENE,PHENOTYPE,影响_1.0,13
PLACE,PHENOTYPE,表现_5.0,14
BREED,GENE,影响_2.0,15
ENVIRONMENT,PHENOTYPE,影响_3.0,16
PHENOTYPE,ENVIRONMENT,影响_4.0,17
BREED,PHENOTYPE,影响_5.0,18
METHODS,METHODS,单位_2.0,19
PHENOTYPE,METHODS,可视化_3.0,20
METHODS,GENE,方法_5.0,21
ENVIRONMENT,METHODS,单位_3.0,22
ENVIRONMENT,GENE,影响_6.0,23
PHENOTYPE,METHODS,单位_4.0,24
METHODS,METHODS,可视化_4.0,25
BREED,METHODS,方法_6.0,26
METHODS,GENE,可视化_5.0,27
BREED,PHENOTYPE,调控_2.0,28
PHENOTYPE,GENE,调控_3.0,29
ENVIRONMENT,PHENOTYPE,表现_6.0,30
ENVIRONMENT,GENE,方法_7.0,31
GENE,METHODS,方法_8.0,32
GENE,BREED,调控_4.0,33
GENE,PHENOTYPE,表现_7.0,34
METHODS,PHENOTYPE,影响_7.0,35
ENVIRONMENT,BREED,影响_8.0,36
BREED,PHENOTYPE,方法_9.0,37
METHODS,GENE,单位_5.0,38
PHENOTYPE,PLACE,表现_8.0,39
GENE,PHENOTYPE,方法_10.0,40
PHENOTYPE,PLACE,影响_9.0,41
PHENOTYPE,GENE,方法_11.0,42
PHENOTYPE,PHENOTYPE,方法_12.0,43
GENE,PLACE,调控_5.0,44
PHENOTYPE,ENVIRONMENT,方法_13.0,45
GENE,METHODS,单位_6.0,46
METHODS,GENE,影响_10.0,47
ENVIRONMENT,PHENOTYPE,方法_14.0,48
METHODS,PHENOTYPE,单位_7.0,49
PHENOTYPE,PHENOTYPE,影响_11.0,50
PHENOTYPE,PHENOTYPE,调控_6.0,51
METHODS,ENVIRONMENT,单位_8.0,52
METHODS,PLACE,单位_9.0,53
ENVIRONMENT,PLACE,影响_12.0,54
ENVIRONMENT,PHENOTYPE,调控_7.0,55
GENE,BREED,表现_9.0,56
ENVIRONMENT,GENE,调控_8.0,57
GENE,GENE,调控_9.0,58
METHODS,BREED,调控_10.0,59
METHODS,PHENOTYPE,表现_10.0,60
ENVIRONMENT,ENVIRONMENT,影响_13.0,61
METHODS,ENVIRONMENT,影响_14.0,62
PHENOTYPE,GENE,影响_15.0,63
PHENOTYPE,METHODS,表现_11.0,64
PLACE,BREED,表现_12.0,65
METHODS,METHODS,表现_13.0,66
BREED,GENE,表现_14.0,67
ENVIRONMENT,METHODS,调控_11.0,68
METHODS,METHODS,调控_12.0,69
