head_type,tail_type,relation,index
None,None,None,0
BREED,PHENOTYPE,表现,1
GENE,PHENOTYPE,调控,2
METHODS,BREED,方法,3
BREED,PHENOTYPE,单位,4
METHODS,PHENOTYPE,方法,5
PHENOTYPE,PHENOTYPE,表现,6
BREED,BREED,表现,7
PHENOTYPE,BREED,表现,8
METHODS,METHODS,方法,9
METHODS,PHENOTYPE,可视化,10
BREED,PHENOTYPE,可视化,11
PHENOTYPE,METHODS,方法,12
GENE,PHENOTYPE,影响,13
PLACE,PHENOTYPE,表现,14
BREED,GENE,影响,15
ENVIRONMENT,PHENOTYPE,影响,16
PHENOTYPE,ENVIRONMENT,影响,17
BREED,PHENOTYPE,影响,18
METHODS,METHODS,单位,19
PHENOTYPE,METHODS,可视化,20
METHODS,GENE,方法,21
ENVIRONMENT,METHODS,单位,22
ENVIRONMENT,GENE,影响,23
PHENOTYPE,METHODS,单位,24
METHODS,METHODS,可视化,25
BREED,METHODS,方法,26
METHODS,GENE,可视化,27
BREED,PHENOTYPE,调控,28
PHENOTYPE,GENE,调控,29
ENVIRONMENT,PHENOTYPE,表现,30
ENVIRONMENT,GENE,方法,31
GENE,METHODS,方法,32
GENE,BREED,调控,33
GENE,PHENOTYPE,表现,34
METHODS,PHENOTYPE,影响,35
ENVIRONMENT,BREED,影响,36
BREED,PHENOTYPE,方法,37
METHODS,GENE,单位,38
PHENOTYPE,PLACE,表现,39
GENE,PHENOTYPE,方法,40
PHENOTYPE,PLACE,影响,41
PHENOTYPE,GENE,方法,42
PHENOTYPE,PHENOTYPE,方法,43
GENE,PLACE,调控,44
PHENOTYPE,ENVIRONMENT,方法,45
GENE,METHODS,单位,46
METHODS,GENE,影响,47
ENVIRONMENT,PHENOTYPE,方法,48
METHODS,PHENOTYPE,单位,49
PHENOTYPE,PHENOTYPE,影响,50
PHENOTYPE,PHENOTYPE,调控,51
METHODS,ENVIRONMENT,单位,52
METHODS,PLACE,单位,53
ENVIRONMENT,PLACE,影响,54
ENVIRONMENT,PHENOTYPE,调控,55
GENE,BREED,表现,56
ENVIRONMENT,GENE,调控,57
GENE,GENE,调控,58
METHODS,BREED,调控,59
METHODS,PHENOTYPE,表现,60
ENVIRONMENT,ENVIRONMENT,影响,61
METHODS,ENVIRONMENT,影响,62
PHENOTYPE,GENE,影响,63
PHENOTYPE,METHODS,表现,64
PLACE,BREED,表现,65
METHODS,METHODS,表现,66
BREED,GENE,表现,67
ENVIRONMENT,METHODS,调控,68
METHODS,METHODS,调控,69
