sentence,relation,head,head_offset,tail,tail_offset
"﻿从日本晴/明恢63染色体片段代换系中筛选到1个抽穗期分离家系BC3F2,调查该家系327个单株,发现单株抽穗期呈明显双峰分布,晚抽穗和早抽穗单株比例符合3∶1的分离比,表明抽穗期受1个主效QTLqHd-3控制.利用极端集团混合法筛选到标记RM416在2个DNA混合池中有多态性,单因子方差分析证明了标记RM416和qHd-3连锁.在引物RM416附近20cM继续筛选多态性标记,对BC3F2群体进行基因型分析,构建局部连锁图.通过QTL分析,qHd-3被定位在IDL01—RM5995,与2个标记的遗传距离分别为5.3cM和1.5cM,它可以解释表型变异的62.9%.在同一区间内还检测到控制每穗颖花数微效QTLqSpp-3和分蘖数微效QTLqTn-3.",可视化,基因型分析,200,构建局部连锁图,206
"可见在粳稻育种南繁加代时,对株高、剑叶长、主穗总粒数、结实率等性状应加强选择压,但对生育期选择,切忌简单",表现,粳稻,3,剑叶长,17
"但改良品种个别性状时,亲本之一符合育种目标,另一亲本也可选用遗传距离不大的品种。",表现,亲本,11,遗传距离不大,30
"﻿在根瘤菌与宿主豆科植物形成的共生关系中,根瘤菌分泌的结瘤因子是宿主专一性的主要决定因子.结瘤因子信号能够诱导豆科植物根毛细胞质膜去极化、离子流动和早期结瘤素基因的表达以及根毛变形、皮层细胞分裂和根瘤原基形成等与共生有关的表型变化.水稻是重要的粮食作物,能否对结瘤因子信号产生应答反应是最终实现水稻结瘤固氮的关键因素.将大豆早期结瘤素基因Gmenod2B的启动子与报告基因β-葡萄糖苷酶(GUS)基因融合构建成嵌合基因Gmenod2Bp-GUS,以此嵌合基因作为探索水稻细胞感受结瘤因子信号的分子标记.通过根癌农杆菌介导的遗传转化系统,获得了携带嵌合基因Gmenod2Bp-GUS的水稻再生植株.以广宿主根瘤菌NGR234(pA28)分泌的结瘤因子作为探针,检测转基因水稻中嵌合基因Gmenod2Bp-GUS的表达.结果表明,转基因水稻中大豆早期结瘤素基因enod2B启动子的表达可以受结瘤因子诱导,仅在水稻根部的皮层薄壁细胞和内皮层细胞中呈特异性表达,并且受到氮源的调控.推测在水稻中可能存在结瘤因子所诱导的豆科早期结瘤素表达的类似机制.",影响,氮源,431,内皮层细胞,414
"结果表明:影响陆稻产量的关键性状有7个,效应大小顺序为单本株有效穗(1)>主茎节间数(2)>穗茎粗(3)>一次枝梗数(4)>始穗至成熟天数(5)>实粒数/穗(6)>抽穗期下部花粉育性(7),其中(1)、(3)、(6)为正效应,(2)、(4)、(5)、(7)为负效应",方法,穗茎粗,46,正效应,109
"﻿本研究以籼粳交“密阳23/吉冷1号”的F2∶3代200个家系作为作图群体,在自然和12℃冷水胁迫下,进行水稻幼苗期根系性状鉴定,并以利用SSR标记构建的分子连锁图谱为基础,对水稻幼苗期的根数、最大的根长、最大根的根径、根干重、根/苗比等根系性状进行了数量性状位点(QTLs)分",影响,12℃冷水,42,最大的根长,97
"野败和冈型细胞质对单株产量、结实率、实粒数、着粒密度、穗颈长和株高有显著效应,对千粒重,最高分蘖数、有效穗数、抽穗期和穗长的影响不明显",调控,野败和冈型细胞质,0,最高分蘖数,44
"耐冷基因与RM7452、RM31的遗传距离分别为4.8cM和8.0cM,主穗结实率能解释表型变异的10.50%;实粒数能解释表型变异的5.10",调控,RM31,12,实粒数,56
"﻿本研究以抽穗期主基因近等基因系EG0EG7(检测E位点),ERLR(检测Se-1位点),T65,T65m,T65Eb,T65Ebm为测验系,在江西南昌(28°68′N)自然长日照(1416h/d)和人工遮光短日照诱导(10h/d)处理条件下,对保持系博B,以及“TLs×博B”F1、F2代的抽穗期进行了调",可视化,自然长日照(1416h/d),85,人工遮光短日照诱导(10h/d),100
"结果表明,颖花数、一次枝梗数、二次枝梗数和穗颈大、小维管束数的遗传力在70%以上,倒二节间大、小维管束数的遗传力则在50%以上;颖花数、一次枝梗数、二次枝梗数和穗颈、倒二节间大小维管束数这类性状均受多基因控制,决定各性状的基因估计数均在6对以上;各性状的偏度和峰度系数的估算结果表明,控制颖花数、二次枝梗数和穗颈大维管束数、倒二节间小维管束数的多基因间无互作,而控制一次枝梗数和穗颈小维管束数、倒二节间大维管束数的多基因间有互补作用;穗颈大、小维管束数之比和倒二节间与穗颈大维管束数之比能较好地反映研究材料的亚种属性,在水稻籼、粳亚种分类中具有参考价值",方法,倒二节间大、小维管束数,41,遗传力,31
"﻿以旱稻品种IRAT109与水稻品种越富杂交构建的DH群体的116个株系及其亲本,在水、旱2种栽培条件下种植,研究了稻米加工、外观、蒸煮和营养等品质性状的变化规律及其各品质性状间的相关",表现,DH群体,25,稻米加工,58
"﻿对27份辽宁省中晚熟期粳稻品种主要品质指标进行了分析,结果表明:碾米品质的国标优质一级标准达标率很高,直链淀粉含量和胶稠度的国标优质标准达标率也比较高;垩白粒率、垩白度的国标一级达标率均较低,分别是15.4%、11.5%。",表现,中晚熟期粳稻,8,垩白粒率,77
"﻿用5个不同耐冷级别品种配制15个组合并将其亲本和近等基因系(NILs)在昆明进行稻种孕穗期耐冷性的遗传研究,结果表明:①昆明小白谷有1对主基因参与调控结实率性状;丽粳2号有1~2对耐冷性主效基因参与调控结实率性状,其耐冷基因的表达还与细胞质效应有关",表现,昆明小白谷,61,结实率性状,76
"生育期、株高、每穗粒数及千粒重等数量性状均为连续分布,呈正态曲线,为多基因控",影响,多基因,34,株高,4
"对其中部分K1863回交改造后代进行了表型性状鉴定,初步表明被鉴定的多数K1863回交后代获得了主体亲本K1863对粳稻不育系的恢复能力,在回交后代中产生了稻瘟病抗性、耐盐性优于主体亲本K1863的材料,而且部分K1863回交改造后代的综合经济性状也优于主体亲本K1863",表现,K1863,5,恢复能力,64
"浸泡处理的水稻幼根出现严重褐化,植株生长矮小,株高仅为对照的1/2。",影响,浸泡处理,0,严重褐化,11
"叶片卷曲受两对互补的主效基因rl-1和rl-7控制,分别位于第1和第5染色体,其中卷叶DH系的基因型为rl-1rl-1rl-7rl-",调控,rl-7,19,叶片卷曲,0
﻿以具广泛代表性的6个不育系和9个恢复系及其配制的54个组合为材料研究了现有籼型三系杂交水稻米质状,表现,籼型三系杂交水稻,38,米质,46
"玉香A属中熟早籼类型,株型紧凑,茎秆粗壮,叶鞘、稃尖均无色;不育性稳定,群体不育株率100%,花粉不育度99.99%,套袋自交结实率为0.025%;品质性状好,米粒香味纯正;开花习性好,易于繁殖制种;配合力强,利用该不育系已选配出农平302、农平202等优质高产新组合",表现,玉香A属,0,花粉不育度,47
"﻿采用2个果皮颜色不同的延农黑稻和延农黑糯与2个白米品种配制成7个杂交组合,观察了其F1、F2、BF1单株的籽粒果皮颜色.结果表明,黑稻果皮受2个遗传系统的控制,有色对无色的遗传受单基因的控制,属于质量性状的遗传;有色果皮单株之间深浅不一的颜色差异受多基因控制,属于数量性状的遗传.所以,在黑稻杂交选育中,要选配果皮颜色深、黑的亲本和综合性状优良的白米品种杂交,在其杂种分离世代中根据育种目标早代选择颜色深的个体,连续加代,到高世代结合营养品质分析,才能获得优质、高产、抗性强的黑稻新品种.",调控,多基因,125,颜色,7
