head_type,tail_type,relation,index
None,None,None,0
GENE,PHENOTYPE,调控_1.0,1
BREED,PHENOTYPE,表现_1.0,2
ENVIRONMENT,PLACE,影响_1.0,3
METHODS,METHODS,单位_1.0,4
ENVIRONMENT,PHENOTYPE,影响_2.0,5
PLACE,PHENOTYPE,表现_2.0,6
METHODS,PHENOTYPE,调控_2.0,7
PHENOTYPE,METHODS,单位_2.0,8
METHODS,PHENOTYPE,方法_1.0,9
PLACE,PHENOTYPE,影响_3.0,10
PHENOTYPE,PHENOTYPE,影响_4.0,11
BREED,ENVIRONMENT,表现_3.0,12
PHENOTYPE,METHODS,方法_2.0,13
PHENOTYPE,METHODS,表现_4.0,14
PHENOTYPE,PHENOTYPE,表现_5.0,15
GENE,BREED,调控_3.0,16
ENVIRONMENT,PHENOTYPE,表现_6.0,17
BREED,METHODS,方法_3.0,18
METHODS,GENE,方法_4.0,19
ENVIRONMENT,METHODS,单位_3.0,20
GENE,PHENOTYPE,影响_5.0,21
PLACE,METHODS,方法_5.0,22
METHODS,METHODS,可视化_1.0,23
BREED,METHODS,可视化_2.0,24
METHODS,GENE,单位_4.0,25
BREED,PHENOTYPE,调控_4.0,26
PHENOTYPE,PHENOTYPE,方法_6.0,27
METHODS,GENE,可视化_3.0,28
METHODS,METHODS,方法_7.0,29
PHENOTYPE,GENE,表现_7.0,30
PHENOTYPE,METHODS,调控_5.0,31
METHODS,GENE,表现_8.0,32
ENVIRONMENT,GENE,影响_6.0,33
GENE,PHENOTYPE,表现_9.0,34
METHODS,GENE,调控_6.0,35
PHENOTYPE,GENE,方法_8.0,36
METHODS,BREED,方法_9.0,37
BREED,PHENOTYPE,方法_10.0,38
GENE,ENVIRONMENT,调控_7.0,39
ENVIRONMENT,ENVIRONMENT,影响_7.0,40
ENVIRONMENT,PHENOTYPE,调控_8.0,41
BREED,BREED,可视化_4.0,42
PHENOTYPE,BREED,表现_10.0,43
METHODS,METHODS,表现_11.0,44
BREED,GENE,表现_12.0,45
ENVIRONMENT,BREED,影响_8.0,46
METHODS,PHENOTYPE,影响_9.0,47
ENVIRONMENT,METHODS,影响_10.0,48
BREED,METHODS,表现_13.0,49
BREED,PLACE,表现_14.0,50
GENE,PHENOTYPE,方法_11.0,51
